education,height,car,house,weight,constellation,nationality,zodiac,blood,criterias_age,criterias_height,criterias_nationality,criterias_education,criterias_marriage,criterias_location,nickname,marriage,work_location,shortnote
本科,158,暂未购车,已购住房,45,天秤座,汉族,兔,A,"40,46","168,180",不限,大专或以上,不限,上海,玲琳,未婚,浦东新区,蓦然回首心戚戚，有缘的他你在哪？    在熟人眼里我是个善良、温柔美丽的贤妻良母型女孩。在男生眼里，我是那种80％会喜欢，20％也不会讨厌的女生。只可惜自己属于晚熟型品种，又兼具追…
硕士,165,暂未购车,已购房,49,狮子座,汉族,龙,O,"31,43","130,260",不限,不限,不限,上海,2022欣然,未婚,徐汇,"我是一个细心,文静,简单,孝顺的人 。本人真心找结婚对象，  从事教师职业， 家住徐汇， 父母都退休， 父亲国企，妈妈是老师退休，..."
大专,162,暂未购车,与人合租,56,双鱼座,汉族,狗,B,"40,50","170,190",不限,大专,离异丧偶,上海国外,莫非2,离异,静安,"我是一个浪漫的温顺的女人，我是一个爱幻想的女人，我是一个长不大的小女人,我有过不幸的过去，希望你能给我幸福的将来。    希望在这能找到一个能陪我一起慢慢变老的他    希望他能陪…"
硕士,160,暂未购车,暂未购房,55,双子座,汉族,龙,B,"54,69","170,200",不限,本科或以上,不限,不限,鳯儿,未婚,海淀,"       由于我的心态特别好,所以外貌要比实际年龄显得年轻很多…… 　　本人热爱生活、豁达开朗、举止端庄、气质高雅、大家闺秀，赞同门当户对……        自幼勤奋好学、善解…"
本科,155,暂未购车,已购住房,55,摩羯座,汉族,鼠,B,"70,75","171,176",不限,大专或以上,不限,美国广东重庆国外上海,*青青**,离异,沙坪坝,忙忙碌碌一生，解脱了无数人的痛苦，已经很值了。接下来能有个痛我爱我的人就更好了!能购买邮票的地区来信请付上邮票（以免认为不是你本人来信，所以不付邮票的来信不会看，请谅解）......
本科,166,已经购车,已购住房,51,处女座,汉族,鸡,O,"40,55","170,185",不限,大专或以上,不限,北京国外,花鼠,离异,朝阳,"体贴,爱家,有责任,希望你本科以上,有事业,素质高,有幽默,话不多...."
本科,158,暂未购车,暂未购房,49,摩羯座,汉族,牛,AB,"45,52","171,179",不限,本科,未婚,上海,平儿,未婚,长宁,"不打算续费了，不能回复您的来信，还请见谅，祝您好运！

本人无不良嗜好，无复杂的男女关系，善良，宽容，乐观向上，拥有一颗平常心（头像那张照片是2021年春天拍的，我不是美女，找美女…"
大专,161,暂未购车,已购住房,56,天秤座,汉族,虎,A,"56,66","168,182",不限,不限,不限,上海,牵手,离异,普陀,感谢您的关注！2022年已来临，愿认识健康、善良的您，享平淡乐生活，游山山水水，充实心灵！  不要把幸福放在未来的某一天！                                  非诚勿扰！感谢！不加任何人QQ！   佳......
大专,161,暂未购车,已购住房,55,白羊座,汉族,猪,O,"35,48","130,260",不限,不限,不限,湖南长沙,珊瑚,未婚,益阳,不是螃蟹女，也不是田园女！能做得一手好饭菜，收入也足够养活自己！没有任何不良嗜好！不抽烟喝酒，不吃槟榔，不泡吧！平时喜欢打羽毛球，做美食，看电影，旅游！从小吃过苦的孩子，懂得珍惜生…
本科,158,暂未购车,暂未购房,47,巨蟹座,汉族,鸡,A,"30,38","170,185",不限,本科,未婚,广东,心素如简,未婚,广州,"心理生理健康，保持身心纯洁至今不是因为我有毛病，而是觉得那杯茶还是要找对才喝，宁缺勿滥是好孩子。
倾向于找性格合适，相处自然的对象，希望可以互相提携，互为依靠。
包容的心态、善良的…"
大专,167,暂未购车,与父母同住,55,天蝎座,汉族,兔,O,"38,50","170,190",不限,大专或以上,不限,上海,elainezy,未婚,普陀,从小在三面环山一面靠海的江南美丽小镇长大，喜欢大自然，性格开朗率真，乐于助人。        看着很时尚，其实还是蛮传统的人，一直不觉得自己会是个晚婚的人，不知不觉走到了今天，希望…
本科,165,暂未购车,与父母同住,48,天秤座,汉族,鼠,其它,"24,30","170,185",不限,大专或以上,未婚,江苏南京,zero,未婚,南京,一个细微动作，一个飘忽眼神，抑或是一个转身的距离，相爱的人应该有着缘分的默契，找一个爱我懂我的人，生活也会因默契而和谐。真诚的等待你…...
硕士,161,已经购车,已购住房,56,摩羯座,汉族,虎,--,"43,59","150,190",不限,本科,离异,广东广州香港国外,it is  dog,离异,广州,在希望中等待未来。。。  。在未来中寻求平静与幸福...
大专,168,暂未购车,独自租房,52,处女座,汉族,鼠,--,"不限,","不限,",不限,不限,不限,不限,细情囝,未婚,珠海,"冷静点，
只有头脑冷静地考虑一下我们的现状，
才能达到生活在一起的目的冷静点－－
爱我吧 －－
今天－－
昨天－－
想你想得真要发哭了 －－
你－－你－－我的生命－－我的一切－－
再会－－ ..."
本科,162,已经购车,暂未购房,55,射手座,汉族,牛,B,"30,49","173,185",不限,本科,不限,不限,若琪,未婚,济南,我在这里，你在那里，你何时走入我的心里，...
本科,158,暂未购车,暂未购房,46,射手座,汉族,猴,--,"30,或以上","172,180",不限,大专,未婚,不限,米唐唐,未婚,浦东新区,真正的爱情，有能力改变一个人。希望我们能成就对方，完满彼此。...
本科,160,暂未购车,住单位房,52,天蝎座,汉族,马,B,"不限,","不限,",不限,不限,未婚,广西南宁,恬静的水仙花,未婚,玉林,好想有个家让我好好呵护它，经营它！ &amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;　我洁身自爱、温柔体贴、聪颖贤惠、优雅大方、孝顺父母。有着一颗积…
大专,162,暂未购车,已购住房,--,处女座,汉族,狗,--,"不限,","不限,",不限,不限,不限,不限,风随影动,未婚,安阳,希望在世纪佳缘这片交友的天空找到自己的Mr.Right        ps 来信请附上邮票，谢谢...
大专,160,暂未购车,已购住房,47,射手座,汉族,虎,O,"35,45","168,178",不限,不限,不限,广东深圳,缘来是你,离异,惠州,想找 一个遇到事情商量的人，下班回家能够有个人一起吃饭，是在外面受了委屈到家有个温暖的拥抱，一生太长了总要有个相伴相知的人，而那个人是你吗......
硕士,165,暂未购车,已购住房,60,巨蟹座,汉族,猴,--,"36,45","170,184","汉族 <font color=""#848284"">*</font>",本科,未婚离异,北京,晓萍,未婚,朝阳,找一个适合自己的终身伴侣也不容易，只能说明期望的缘分还没有来到。看到这里成功的朋友们，衷心的祝福。也希望我在这里能找到我期望已久的另一半，一起携手走过人生。简单介绍我自己：  重点…
大专,163,暂未购车,已购住房,58,双鱼座,汉族,猪,B,"不限,","不限,",不限,不限,不限,不限,文净,离异,朝阳,"都说曾经过才懂得.经历了一些坎坷,曾经对爱情绝望,但是长大了才知道,爱情还是有的,只是充实了很多的内容,比如责任..比如亲情...更需要经营,需要宽容,适当的原谅.....那样的 …"
大专,164,暂未购车,与人合租,102,射手座,汉族,虎,--,"不限,","不限,",不限,不限,不限,不限,_忽忽__,未婚,武汉,"恋爱就像做爱一样，短暂的高潮过后是无边的空虚，我不会浪费我的生命在那点短暂的快乐上的.
http://www.blogcn.com/user55/choujindehuhu/index.html我的个人博客..
.▂_;______[;殘濺.] &quot;享受墜落 ..."
本科,158,暂未购车,与父母同住,58,双鱼座,汉族,猪,A,"58,70","170,176",不限,大专,不限,北京,舒心,离异,石景山,"性格开朗，  我是一个温柔的女士.追求幸福生活；  有自己的生活目标；  渴望找一个真心的人共度余生！  我会用真诚等待缘分,  用缘分期待未来....  
希望他是性格开朗，人格…"
大专,161,已经购车,已购住房,65,巨蟹座,汉族,猴,A,"54,65","170,190",汉族,大专或以上,不限,北京,温婉,离异,昌平,我，北京土著。 到了这个岁数，注重的是陪伴，只要相互陪伴、相互扶持、相互照顾就好。我的性格不强势，很随和，但也不是没有主见。 我对他的期望：只要长相端正、有内涵、有稳定的收入就好.......
硕士,162,暂未购车,暂未购房,--,水瓶座,汉族,虎,O,"39,42","171,184",不限,本科,未婚,广东深圳,灰灰兔,未婚,深圳,当面对父母关切的目光，朋友们关心的问询，我无语了。    我是一个积极向上，外秀内慧的女性，在三十多个春秋中，一直未停止奋斗的脚步。    而今回首往事，发现最大的遗憾是未能在什么…
双学士,162,暂未购车,与人合租,43,巨蟹座,其它民族,猪,A,"不限,","不限,",不限,不限,不限,不限,碎玻璃,未婚,浦东新区,二十多年的人生不是几句话可以描述得清楚的。 我是个文静，善良，诚实，孝顺的人，想要的只有唯一。 标准： 1、善良，忠厚，老实，对父母和小孩要好 2、无暴力倾向，包括：精神暴力，言语…
本科,162,暂未购车,已购住房,50,狮子座,汉族,虎,A,"46,52","不限,",不限,大专,未婚离异,江苏,阿榕,未婚,苏州,"　我性格较内向，脾气好,生活有规律。因交际圈小，至今还没找到合适的，希望通过这个平台能找到另一半。..."
本科,169,已经购车,已购住房,--,天蝎座,汉族,鸡,O,"25,30","174,183",汉族,本科或以上,未婚,河北廊坊,云,未婚,廊坊,"我是一个善良,诚信,乐观,纯真,开朗的人 ，山西临汾是我的故乡，03年全家搬迁到离北京30公里的河北燕郊定居。关于外貌，简单形容就是身材匀称健康，我的工作属于教育行业。我喜欢蓝球，…"
本科,160,已经购车,已购住房,47,白羊座,汉族,狗,AB,"43,50","173,188",不限,本科,不限,上海,passionate eye,未婚,加拿大,"Self-employed, fly back and forth between vancouver &amp; shanghai, like travel, hiking, dancing, movie, reading, music.  Looking for someone who is not afraid of life challenges and sees the…"
本科,158,已购车（中档型）,已购住房,54,天蝎座,苗族,龙,A,"38,48","165,185",不限,本科,不限,湖南长沙,miss july,离异,长沙,本人42岁。在长沙工作。婚姻的失败不是人生的终点，我始终相信自己一定会遇到对的人。本人性格开朗、乐观、积极 。希望对方和我能有更多精神上交流，能成为soulmate，当然我会全心全…
大专,158,暂未购车,暂未购房,52,双鱼座,汉族,猴,--,"49,58","不限,",不限,不限,不限,北京,随缘,未婚,朝阳,有时候望着地平线的方向，我在想，自己一路走来，明天又将去向哪里呢。快乐过也失落过，一个人旅途太漫长，如果你愿意，我希望能拉着你的手…...
本科,166,暂未购车,与人合租,60,天秤座,汉族,虎,B,"40,50","175,200",不限,本科或以上,未婚,上海,听海,未婚,长宁,偶尔经过此地，有心进来认识各位，希望能遇到有缘人。...
大专,158,暂未购车,已购住房,54,天秤座,汉族,虎,AB,"49,67","168,182",不限,不限,离异丧偶,上海,郁金香的眼泪,未婚,浦东新区,一闪一闪亮晶晶，满天都是小星星，我在星空下许下心愿，期待点燃一段情！    无论你收获了多少喜悦，总要有人与你分享，那样才完美！    我依然等待一份深深的足以白头的爱情!......
本科,165,暂未购车,已购住房,--,金牛座,汉族,兔,O,"37,49","172,190",不限,本科,不限,北京国外香港,孤独的丹顶鹤,未婚,朝阳,"Meeting you here, feeling your emotion, so not feeling lonely anymore .... 本人的照片为最近1年，在双方不…"
大专,160,暂未购车,已购住房,55,水瓶座,汉族,龙,O,"63,73","168,180",不限,大专或以上,不限,不限,秋韵,离异,宁波,"我，1952年出生，公务员退休,2010年底才闲赋在家，生活充实愉悦. 父母仙逝，孩子已成家立业 ，且孝顺，有一 份不错的工作，有他们幸福的家。我自己身心健康，生活安逸。对以后的人…"
本科,163,已经购车,已购住房,60,双子座,汉族,兔,A,"33,48","168,180",不限,本科或以上,不限,江苏,心如月,未婚,镇江,茫茫人海之中，不知我要守候的人在那里？但我知道你今生一定是为我而生，而我也为你等候！    人生风雨，前面的路我已走过，后面的路只求你伴我，有你，今生无忧。你给我一种安全感，有你，…
本科,163,暂未购车,与父母同住,78,金牛座,汉族,龙,B,"不限,","不限,",不限,不限,不限,不限,人海茫茫 绿,离异,九江,学历：本科    学位：硕士    职称：高级工程师    九江市区事业单位正式在编人员    希望能够找到我生命中的另一半！你我相知、相守到永远。。。    简短的独白难以将自己…
本科,163,暂未购车,暂未购房,50,白羊座,回族,鼠,B,"28,40","173,185",不限,本科或以上,未婚,上海香港台湾国外,Even,未婚,浦东新区,爱旅游，爱摄影。喜欢上进独立有责任心的男人...
本科,168,暂未购车,已购住房,65,金牛座,汉族,猪,O,"50,58","172,182",不限,大专,不限,不限,似雾似云还似烟,未婚,长沙,无怨无悔的走过风风雨雨的人生几十个春秋，在不断的成长与成熟中收获了自己的所需！本人本性善良，性格温和！气质高雅，待人诚恳！出在于美丽的洞庭湖畔，成长于三湘四水之中！        …
大专,163,暂未购车,已购住房,68,金牛座,汉族,马,AB,"63,70","170,190",不限,不限,不限,上海,anni1954,丧偶,闵行,普普通通的女人，丧偶23载，女儿国外已回国工作，有产权房一套，每逢过节难免觉得冷清孤寂，所以想找个有缘人，过一起买菜一起烧饭，一起逛街，一起看海，希望他是风趣的人有自己的独立住房，…
本科,167,暂未购车,与父母同住,55,白羊座,汉族,猴,--,"不限,","不限,",不限,不限,不限,辽宁大连,清风暖阳,未婚,大连,人生只是一次单程旅程，每个人都该好好使用这一次生命，拥有一些宿命的东西，当然我也不例外。生活是现实的，只有实实在在过日子的人才能彼此用心体会。    说说我吧，虽然没有精湛的文采，…
本科,160,暂未购车,已购住房,53,天秤座,汉族,狗,--,"48,56","168,190",不限,本科,不限,湖南长沙,冰清玉洁,离异,长沙,我在等一个人，一个可以把我的寂寞画上休止符的人；一个可以陪我听遍所有悲伤的情歌却不会让我想哭的人；一个我可以在他身上找出一百个缺点却还是执意要爱的人；一个会对我说：我们有坑一起跳，…
高中中专及以下,158,--,--,45,摩羯座,--,牛,--,"45,57","不限,",不限,不限,不限,湖南长沙,刘刘,未婚,长沙,我是1974年属虎的，谢绝异地恋反感姐弟恋；酷爱赌博喜欢泡夜店的朋友请不要发信件给我，请金融精英勿扰！喜欢徒步爬山户外游的朋友欢迎多联系！        留QQ号码的直接拉黑，如有…
大专,165,暂未购车,暂未购房,65,处女座,汉族,兔,O,"不限,","不限,",不限,不限,不限,不限,梅7116,未婚,西城,女 ，北京 未婚，善良朴实，随和开朗，希望在这里能够找到生命的另一半，做现货、外汇，炒股、原油投资的，请不要联系我！！！...
大专,159,暂未购车,已购住房,50,处女座,汉族,羊,A,"45,58","165,190",不限,不限,离异,不限,恬静,离异,成都,今年花胜去年红.可惜明年花更好.知与谁同!    我没有邮票看不到你发的信息...
大专,165,暂未购车,已购住房,54,天蝎座,汉族,虎,B,"59,74","不限,",不限,大专或以上,不限,广东深圳,菁菁,离异,深圳,来深已有二十多年，曾从事教师、工程师、营养师等工作。深户，深圳和辽宁各有商品房一套，在深圳已办退休，目前一个人独居深圳。   我性情随和、温柔、善解人意，是个体贴且有点浪漫情调的爱…
本科,163,已购车（中档型）,已购房,56,金牛座,汉族,龙,O,"30,42","170,185",不限,本科,未婚,广东深圳,心简如素,未婚,深圳,时光清浅，与你语；风花雪月，与你同；繁华落尽，与你老，想来这一生，总会有那么一个人，牵着我的手，将爱融入生命，倾一世温柔，尽一生担当，与我一起赏万山红遍，陪我一起过春华秋月的小日子…
本科,161,暂未购车,暂未购房,42,双子座,汉族,鼠,AB,"27,48","170,190",不限,大专或以上,未婚,北京,阿莲妞妞,未婚,东城,在外边一个人工作生活了这么多年，最大的感触就是生活是平平淡淡的，要用一颗宽大的心去面对身边的点点滴滴，一切物质的东西都是身外之物，唯有健康快乐的工作生活才是人生最大的财富。    …
大专,162,已经购车,住单位房,52,双子座,汉族,虎,B,"24,58","不限,",不限,不限,不限,不限,gd0423,未婚,沙坪坝,很偶然的来到了这里，也希望能在合适的时间遇到合适的人！...
大专,162,已购车（经济型）,已购住房,50,巨蟹座,满族,狗,B,"50,60","165,190",不限,不限,不限,辽宁鞍山辽宁沈阳北京,才下眉头！,离异,辽阳,"人间可爱，未来可期。
愿你历尽沧海依然是那个明朗的少年
愿我走遍桑田依然是那个明媚的女孩
年过半百依然期待，执子之手与子偕老的爱情。

2020年已退休。
本人比较简单，豁达明理，…"
大专,169,已经购车,已购住房,65,双鱼座,汉族,羊,AB,"40,48","175,185",不限,大专,未婚离异,广东深圳,茶0314,离异,深圳,经历过失败婚姻，孩子跟我，这个年龄或许遇到爱情机率很低，但还是心存希望，但愿还能遇到携手到老的爱人，我在这里等你！已在深圳安家，还有孩子原因，深圳外就不用来信了，谢谢！（诚心找另一…
大专,164,暂未购车,需要时购置,50,天蝎座,朝鲜族,鼠,A,"28,35","175,185",不限,大专或以上,未婚,广东,Wendy Kim,未婚,深圳,"本人寻找伴侣的条件如下, 任何一项不符合者请勿打扰. 1. 朝鲜族 (最好是黑龙江户籍) 2. 大学毕业 3. 有孝心 3. 身高175以上 4. 有稳定的收入 5. 愿意与女方一…"
本科,165,暂未购车,独自租房,80,摩羯座,汉族,猴,O,"42,52","170,190",不限,不限,不限,河南郑州,圆缘,未婚,郑州,我相信在这个世界总有一份只属于我的幸福，我等待，我寻找，只为那个能让我心安心静的男人，找一个能一辈子疼我爱我的男人，恩恩爱爱过甜蜜的日子。        家应该像冰冷冬天里的一杯热…
本科,168,已经购车,已购住房,67,射手座,满族,虎,O,"51,","170,190",不限,不限,不限,不限,杨子Rebacca,离异,无锡,"本人多年不用QQ，凡是网名和独白夹杂QQ号码的一律不加。
我不是钻石会员，没有付费的朋友，我看不见你的来信。心态决定生命质量，也可以决定生命的长短！现在就天天窝在家里数日子——倒计…"
本科,156,已经购车,已购住房,50,摩羯座,汉族,蛇,O,"55,67","168,178",不限,大专,离异丧偶,北京,lxhlxh,离异,海淀,婚姻需要给予，对于新的婚姻我会倍加珍惜。我希望另一半是宽容、诚实、有爱心、有责任感，有素质的。希望能遇到彼此满意的。我的性格比较温和开朗，外表文静，希望你素质好品质好，有责任感，开…
硕士,162,--,--,50,射手座,汉族,狗,--,"不限,","不限,",不限,不限,不限,不限,二等天使,未婚,英国,"我很懒， 什么都没有留下。。。。。
为什么还要系统审核， 还要超过20字。。。。。（这下超过了吧，嘿嘿）"
大专,165,暂未购车,暂未购房,62,金牛座,汉族,鼠,--,"不限,","不限,",不限,不限,不限,不限,普罗旺司的树,未婚,浦东新区,一切随缘！希望我的他热爱生活，有责任心和上进心，也希望可以和他一起分享最简单的幸福。...
本科,160,已经购车,暂未购房,54,天秤座,汉族,牛,B,"25,30","172,178",不限,本科或以上,未婚,浙江宁波,郁闷1010,未婚,宁波,呵呵  其实没什么好说的   缘分吧
大专,166,暂未购车,已购住房,60,天蝎座,汉族,牛,A,"45,55","170,185",不限,本科,不限,上海,xiaotuzi0916,离异,长宁,有一次一位律师朋友安慰我说：现在上海和北京的离婚率在40％以上，晕！我也不能幸免！ 然而日子还是要过得，而且要过得精彩！ 本人有房有车有工作，而且收入也算体面，想找一位有教养、念过…
本科,164,暂未购车,与父母同住,57,巨蟹座,汉族,鸡,B,"47,62","170,182",不限,不限,不限,天津,＊倾城之恋＊,离异,河东,我：    我母亲是老师  父亲是管理人员  都已退休      相貌文气 性格活泼开朗  幽默感不错 灵气十足 思想睿智 外表时尚 内心专一    我是巨蟹座 特别爱家  爱整洁…
本科,158,暂未购车,已购住房,53,天秤座,汉族,狗,A,"74,81","165,",不限,不限,离异丧偶,上海江苏广东,菊花仙子,丧偶,马萨诸塞州,我是因女儿在美国来美国生活的单身女士，因也有一定年纪了，想找一个志同道合适条件相当的男士，国内外都可以住一定时间的伴侣，快快乐乐过好晚年生活，无忧无虑，真诚相待。......
大专,168,暂未购车,与人合租,48,巨蟹座,汉族,猪,A,"30,38","175,188",不限,硕士,未婚,四川成都北京,SELINA瑶瑶021,未婚,虹口,感激伤害我的人，因为他磨练了我的心态；感激绊倒我的人，因为他强化了我的双腿；感激欺骗我的人，因为他增进了我的智慧；感激蔑视我的人，因为他觉醒了我的自尊；感激遗弃我的人，因为他教会了…
大专,162,暂未购车,与父母同住,60,处女座,汉族,兔,A,"22,30","175,190",不限,大专或以上,未婚,江苏南京,mumuring0,未婚,南京,希望可以找到一个相依为命的人，只要他真诚，不说谎，再大的苦和难我都可以陪他一起面对~...
硕士,174,暂未购车,与父母同住,65,处女座,蒙古族,鼠,B,"33,39","175,195",不限,不限,不限,山东日照,索伦高娃,离异,日照,对于“你”来说，我是陌生的。        所以，我如实填写了个人资料，把自己最近的生活照放进相册里。        除了这些你看到的，我还想告诉你，我蒙古族女孩同时也是八零后的女…
本科,161,暂未购车,已购住房,59,摩羯座,汉族,猪,--,"48,65","168,185",不限,本科,离异丧偶,天津,雨婷俐俐,未婚,和平,"一生如茶，如水。
爱出者爱返，福往者福来。
我，高中教师，和平长大，读书，上班，基本没有离开过直径两公里的巴掌大的地儿。希望您是有良好素养的文化人。和平河西南开为宜。其它区不排斥。…"
大专,160,已购车（中档型）,已购房,47,摩羯座,汉族,虎,A,"38,52","168,185",不限,不限,不限,不限,白雾,离异,成都,本人照片都是最近拍的，真人看着应该更好看一点，本人看起来就30出头，还有资料年龄填小5岁，不能更改了，如果介意的请滤过，还有我离婚无孩，再婚必须要个孩子，不想要孩子的也请滤过，外地…
本科,163,暂未购车,暂未购房,45,白羊座,汉族,虎,B,"36,47","170,182",不限,本科,未婚离异,北京,merry可儿,未婚,朝阳,"（不是结婚为目的、北京没有住房、有孩子的，请您勿扰，谢谢！）
我是一个热爱生活，传统文静，本分善良的女孩。希望能有一个聊得来的人，一份贴心的感情，一个给予认同的眼神，能够彼此打开心…"
本科,163,暂未购车,暂未购房,80,天秤座,汉族,蛇,A,"30,34","175,180",不限,大专或以上,未婚,安徽合肥,乱世寻良人,未婚,合肥,我是单亲家庭长大的，父亲很早就去世了，母亲一个人把我带大，很辛苦，所以我希望我未来的另一半能够有责任心，孝心，主要是对我和我的家人好。我也会对你的家人好，真心希望在这里能遇到我的那…
本科,168,--,--,--,处女座,--,龙,--,"42,55","130,260",不限,不限,不限,湖北潜江,泡沫随风,未婚,潜江,当他远去的时候，去浴室洗个澡吧，顺便把爱情也洗掉。
本科,160,暂未购车,已购住房,45,射手座,汉族,羊,O,"31,40","174,182",不限,大专或以上,未婚,山东威海山东烟台山东青岛,金湘雨,未婚,威海,希望能借助这个平台， 能够找到适合自己的生活伴侣. 请来信的人附带邮票 因为我觉得这样才有诚意还有为了证明不是系统发信，所以请有诚意的人附带邮票，我是真诚寻找伴侣 请骗子一类有其他…
大专,160,已经购车,已购住房,52,金牛座,汉族,虎,B,"46,58","170,180",不限,大专,不限,浙江杭州国外新加坡上海,蝶恋伊人,离异,杭州,喜欢看看书，晒晒太阳，有假期的时候喜欢出去旅游。凡事不会强求，喜欢顺其自然。为人真诚，善良。...
硕士,170,暂未购车,已购住房,66,金牛座,汉族,马,O,"38,54","176,199",不限,本科或以上,不限,北京,旧旧的亚麻裙子,离异,西城,一直认真诚恳的生活，通过自己的努力追求自己想要的生活，之前的感情经历很简单，愿得一人心白首不相离，可是遇人不淑，因为珍惜感情不想留有遗憾，但更不愿意放弃原则维持一个形式上的婚姻，因…
大专,160,暂未购车,与父母同住,50,摩羯座,汉族,羊,A,"25,38","170,180",不限,本科,不限,湖北武汉,吼儿,未婚,武汉,性情随和，感情丰富，好强好胜，生活乐观 肯交朋友。但清高自大，偏见倔强。年轻时要承受一些压力。 体内含糖多些，多食用些豆制品 生命线突出，身体健康，寿命长，智能线与太阳线显示，有才…
