education,height,car,house,weight,constellation,nationality,zodiac,blood,criterias_age,criterias_height,criterias_nationality,criterias_education,criterias_marriage,criterias_location,nickname,marriage,work_location,shortnote
博士,173,已购车（中档型）,已购住房,85,白羊座,汉族,牛,AB,"38,45","165,",不限,硕士,不限,北京,zamark,未婚,东城,俺北京人，以前是医生，博士，在某三甲医院工作，怕被人砍死不干了，去了一家外企。有一点黑，比较胖，但是正在健身房锻炼，估计会减下去一点。（婚姻状况离异，娃归对方，离的原因是对娃的教育…
博士,171,暂未购车,已购住房,57,天秤座,汉族,羊,O,"20,34","150,190",不限,本科或以上,未婚,湖北武汉,长剑舞雪,未婚,武汉,我在武汉的一所部属高校当老师，从事科研和教学工作。我对我所从事的科研工作十分热爱。生命是短暂的，用短暂的生命去接近永恒的真理，我觉得是一件非常有意义的事情。        事业对我…
大专,178,已购车（中档型）,已购房,75,天蝎座,汉族,龙,O,"38,48","155,175",不限,不限,不限,安徽,Daywalker,离异,合肥,人海茫茫，如果能相遇走到一起不容易，希望彼此珍惜，彼此拥护。...
硕士,170,暂未购车,需要时购置,56,天蝎座,汉族,羊,O,"29,35","158,170",不限,大专或以上,未婚,广东深圳湖北武汉湖南郴州山西晋中,keller,未婚,深圳,过年回家，压力越来越大，今年重点工作是成家 有人可能会问来深圳这么久为撒不买房，其实一直买的起，主要是没丈母娘催啊
本科,178,已经购车,需要时购置,--,白羊座,汉族,猴,B,"24,35","164,175",不限,本科,未婚,北京,冷面人,未婚,西城,缘从心生，缘自心来，简单，明亮，自然。...
本科,176,已经购车,暂未购房,75,双子座,汉族,马,O,"32,43","155,172",不限,不限,不限,上海安徽江苏,天若有晴,未婚,普陀,你不懂，也许没谁能懂，亦或我自己，有时候就是这样……...
本科,170,已经购车,需要时购置,--,白羊座,汉族,兔,B,"22,30","165,",不限,不限,未婚,上海,佳缘会员,未婚,黄浦,"本人爱好广泛,喜欢旅游,有点内向,希望有真心的朋友和甜蜜的爱情."
硕士,170,已购车（经济型）,住单位房,74,狮子座,汉族,猴,O,"38,50","163,",不限,本科或以上,不限,陕西西安,寻伴到老,离异,西安,首先声明：我自己不会主动给人发信或者别的联系方式，因为怕被人说我是骚扰别人，我还是比较重视德行的，如果有被骚扰到的人，这里跟你道歉了！那非本意，是系统所为。        同样您要…
本科,179,--,已购住房,75,双鱼座,--,鼠,--,"30,42","155,",不限,不限,不限,不限,无名小卒,离异,惠州,婚姻是勤劳者的福利，是懒惰者的枷锁，是堕落者的镣铐，是愉乐者的救命草，是浪子回归的家园，是芸芸众生者的心灵归属。我想与你一同找寻这份归属。......
本科,178,--,--,75,巨蟹座,--,牛,--,"42,50","155,179",不限,不限,不限,不限,浮生如梦,离异,闵行,有的人被等待，有的人在等待别人，不知道能否在这里等待到我等的你。...
本科,175,已经购车,已购房,73,双子座,汉族,羊,A,"38,45","156,173",不限,不限,离异丧偶,不限,平凡人生,离异,嘉兴,管是网络还是现实都是真真假假假假真真，我更相信如果网络上两个人走在一起，爱情感情会更加的坚固，更加的经得起考验，我相信自己的选择，跟着自己的心走，真假是靠自己去辨别的，可不可信需要…
本科,178,已经购车,已购住房,70,白羊座,汉族,鼠,B,"25,34","158,",不限,大专,未婚,重庆,银色天堂鸟,未婚,江北,用抽屉锁住自己的秘密        在喜爱的书上留下批语        信投进信箱，默默地站一会儿        风中打量着行人，毫无顾忌        留意着霓虹灯闪烁的橱窗  …
本科,172,暂未购车,已购住房,74,摩羯座,汉族,蛇,AB,"34,40","155,167",不限,大专或以上,不限,北京,不够帅不够坏,离异,东城,我是个喜欢笑的人，没事的时候经常睡个小小的懒觉，上上网，看看书，仔细想想好像没什么特别的爱好。喜欢安静的人，喜欢静静的坐着，哪怕就是这么坐着。
硕士,173,已购车（豪华型）,需要时购置,--,狮子座,汉族,马,AB,"30,40","158,173",不限,本科或以上,未婚,上海浙江,梦里寻她千百度,未婚,金华,《单身》 到了结婚年龄，依旧苦伶仃。 花前月下，出双入对。 形影相依，孤枕冷衾。 渴望爱神的降临。  本科以上学历，温柔贤惠，身材高挑，体态轻灵。 梦里百遍将她寻。 是梦，终会醒。&lt;b......
本科,178,已购车（经济型）,需要时购置,76,巨蟹座,满族,猪,A,"不限,","158,178",不限,不限,离异,北京,小耷拉,离异,丰台,"最近有人黑我账号啊，现在还有人干这么无聊的事情？
------------------------------------
分割线以下是曾经的独白，后来离婚了，又回来发现看了挺心酸…"
本科,177,已经购车,已购住房,75,双鱼座,汉族,牛,A,"29,35","160,175",不限,大专,未婚,吉林长春,红鹰,未婚,长春,我，阳光，随意，勤勉，又有完美的生活目标，生活在这个世界上。你，只求如同一阵清新的空气，让我呼吸于中，融为一体。...
本科,173,暂未购车,已购住房,78,狮子座,汉族,鸡,B,"不限,","158,168",不限,不限,未婚,上海,小凡,未婚,闵行,用歌词来介绍自己吧：                           有时候我觉得自己是一只小鸟    想要飞却怎么也飞不高    也许有一天我攀上了枝头却成为猎人的目标    我飞上了青天才发现自己从此无依无靠......
硕士,173,暂未购车,与父母同住,80,狮子座,汉族,猴,AB,"27,41","155,226",不限,不限,离异丧偶,山东枣庄,折叠,离异,枣庄,~                                                                         ~                   ~...
硕士,180,已经购车,已购住房,80,双鱼座,汉族,龙,O,"25,40","160,175",不限,不限,不限,国外澳大利亚国外新西兰,Eddy,未婚,澳大利亚,"Hi, Great pleasure to meet you here. Any one interested in me, please just drop me a line."
硕士,170,已经购车,已购住房,70,双鱼座,汉族,龙,O,"30,37","161,170",不限,大专,不限,广东深圳,天高云淡,未婚,深圳,亲爱的，你到底在哪呢？躲了那么多年，让我在这个世界找你找的好辛苦，快点出来吧，让我带你赶快离开这里，去开始创建属于我们的幸福生活！...
大专,170,暂未购车,已购住房,--,狮子座,汉族,狗,AB,"不限,","不限,",不限,不限,未婚,山东威海,rosesun,未婚,威海,希望在世纪佳缘这个纯净美丽的爱情花园里，寻找到彼此吸引、心心相印的有缘人，一起携手走过精彩的人生。希望在世纪佳缘这个纯净美丽的爱情花园里，寻找到彼此吸引、心心相印的有缘人，一起携手…
本科,170,暂未购车,已购住房,64,水瓶座,其它民族,猴,B,"35,44","158,168",不限,本科,离异丧偶,江苏,青春,离异,韶关,有人说过，对于50岁的离异男人来说，也许生活才刚刚开始！年轻时只想为了实现自己的个人理想，现在想帮助你实现拥有一个幸福家庭的理想！希望尽快找到温柔善良的人你，一起把这过一天少一天的…
本科,174,已经购车,已购房,75,天秤座,--,兔,--,"38,52","不限,",不限,不限,不限,黑龙江,黑马王子,丧偶,哈尔滨,我是一位缘份忠诚者，始终认为如果没有缘份强拉在一起也不会有好结果。自我评价，我是一个老实、内向的男人，不善于幽默，但我有一颗热诚的心，对待感情忠诚。希望你能发现我的优点，包容我的缺…
本科,171,暂未购车,已购住房,73,金牛座,汉族,狗,O,"33,42","164,180",不限,不限,未婚,北京,爱情碰碰撞,未婚,朝阳,"真是善与美的前提！不虚不伪，不矮化，不随波逐流，坚守天赋的精神家园，希望你有独立人格和思想。
我一直未婚，感情经历也很简单，我用常人难有的意志力去克服孤独、失望、寂寥；对生活始终抱…"
本科,178,已经购车,已购住房,65,巨蟹座,汉族,猪,O,"27,50","161,175",不限,不限,不限,北京,北京天空,离异,丰台,我1971年7月出生，在国企做研发设计工作，身体健康，性格开朗，随和，自信，稳重踏实，爱好广泛，喜欢打羽毛球，唱歌，下棋，弹琴。请看照片，从中寻找缘分。......
本科,181,暂未购车,已购住房,--,射手座,汉族,蛇,B,"29,33","162,",不限,不限,不限,安徽合肥,胶瓜瓜,未婚,合肥,简单的文字，当然不足以了解一个人，读懂一个人，那需要怎样的默契呢，想找到这样一个人，彼此相互了解，心与心的交流很重要。    世纪大熊猫…...
大专,178,暂未购车,已购住房,75,白羊座,汉族,狗,A,"39,","153,175",不限,不限,未婚离异,重庆,XANDY,未婚,沙坪坝,"平时比较宅,不吸烟,不喝酒,不打牌,喜欢运动,喜欢听歌,社交圈子比较小，比较宅，吃货，网约车司机，沙坪坝住。..."
本科,173,已经购车,已购住房,70,处女座,汉族,蛇,O,"30,43","158,170",不限,不限,未婚,北京,天天,未婚,北京,也许是我生活的圈子太小，也许是我工作的原因，至今没能走进婚姻的殿堂。经常有人会对我说：“嗨，你看你这样多好，一个人自由自在的，单身贵…...
本科,173,已购车（经济型）,已购住房,75,摩羯座,汉族,兔,--,"37,49","不限,",不限,不限,离异丧偶,不限,我心飞翔,丧偶,长沙,生活就是这样，一路过来的多少心酸不易，只有感同身受的人才能体会到，第一次来这个地方，希望缘分让我们相遇，相互相惜。...
本科,177,已购车（中档型）,已购房,80,狮子座,汉族,鼠,B,"41,59","155,175",不限,不限,不限,江苏,广兴,离异,南京,有一女孩，已经独立。.真心寻找另一半，一起过年，平时不怎么来这里  ㋈㋈_⋘㏧㍘_㏢㏥⋙_㍜㍚ 数字是，叩 。期待你的叨扰...
本科,175,已购车（中档型）,已购住房,72,摩羯座,汉族,马,B,"38,48","156,175",不限,不限,离异丧偶,不限,执念,丧偶,深圳,有关爱情，能够遇见谁，什么时间，什么地点，都是充满玄机的。我相信每个人一定都会找到那个可以真正陪你到老的人，只是出现的时间或早或晚而已!       茫茫人海，能够遇见真是一件挺不…
硕士,180,已经购车,已购住房,78,双鱼座,汉族,龙,A,"25,39","161,175",不限,本科或以上,未婚,北京,阿攀,未婚,西城,本人厦门大学毕业后来到北京一国有银行总行工作至今。身体健康，不近视，不吸烟，不酗酒，喜运动，篮球游泳为多，爱读书、看电影、看美剧。待人真诚，为人善良，生活质朴，工作学习勤奋。 愿有…
本科,168,暂未购车,住单位房,65,摩羯座,汉族,牛,O,"37,40","155,162",不限,不限,未婚,四川成都,hangneba,未婚,成都,请看清资料，再发信，    不看资料，直接用系统发快捷邮件的，    都是坏人。。。...
硕士,172,暂未购车,--,72,双子座,汉族,虎,B,"29,38","158,170",不限,不限,未婚,山东莱芜广西柳州山东济南,流星雨,离异,柳州,来这里好久了，那个她快点出现吧。山川载不动太多悲哀，岁月经不起太长的等待！ 注：未婚。之前账号曾被盗，被修改为离异，目前改不了。......
本科,175,暂未购车,与父母同住,68,天秤座,汉族,鸡,O,"28,40","150,172",不限,不限,未婚,广东深圳,andyning,未婚,深圳,断断续续的思绪是不是也在期待着一种永恒呢？哪怕只会是悲伤的延续。如果真的有那么一天你再也找不到我的时候，那么请你一定要好好的保重你自己，因为你的幸福仍是我今生最大的心愿，虽然你和我…
本科,184,已购车（中档型）,已购住房,77,天秤座,汉族,蛇,O,"18,35","160,178",不限,本科,未婚,山东威海北京朝阳河北石家庄,李律仙闲,离异,威海,一個高尚的人，一個純粹的人，一個基本脫離了低級趣味的人。一個君子。崇文尚武，尊德重教。智慧，良善，仁義，魄力。追求充實的人生。近期有計劃未來在地球上找個好地方歸隱田園，開600畝有…
高中中专及以下,168,暂未购车,已购住房,64,摩羯座,汉族,兔,--,"28,40","156,180",不限,不限,不限,不限,xiner,未婚,郴州,"本人是属龙生肖!!
我有点不善言词，但有一颗真诚的心。
只希望能与有缘人携手共渡美好人生。
但愿能找到一位爱好中医（或中草药）的女性为最好。尤其在妇科、内科、皮肤科以及其他疑难杂症…"
硕士,180,暂未购车,已购住房,77,狮子座,汉族,蛇,A,"31,40","160,175",不限,本科,未婚,北京,时间,未婚,海淀, 我是江苏人，家在江苏的最北面，紧挨山东，所以性格和饮食习惯等方面和一般人印象中的江苏人不同，更接近山东人。     在天津读书7年， 离开学校后，独自生活了很多年，比较独立，…
本科,175,暂未购车,独自租房,75,巨蟹座,汉族,鸡,--,"35,48","160,176",不限,不限,离异,国外加拿大,塌鼻子先生,离异,加拿大,潇洒，是踏遍千山万水笑傲江湖；     潇洒，是历尽沧海桑田悟透诗书；     潇洒，是读尽天下诗书也走尽天下路；     潇洒，是阅尽人间春色也吃尽人间苦；     潇洒，是对最…
大专,176,暂未购车,已购住房,65,金牛座,汉族,鸡,O,"65,72","160,165",不限,不限,不限,不限,昱日,丧偶,南宁,真诚的我希望与一个有缘的女士携手同行共渡美好的未来.
硕士,172,暂未购车,已购住房,--,水瓶座,汉族,兔,--,"28,38","165,170",不限,大专,未婚离异,上海,xfyang,未婚,闵行,想结束单身，想结婚，相濡一生！让我们真心认识，走到一起，非诚勿扰！另外我以前做软件行业，现在从事医疗美容行业！谢谢！...
硕士,175,已经购车,已购住房,63,巨蟹座,汉族,虎,--,"25,43","157,170",不限,大专或以上,不限,广东惠州,dustin,离异,惠州,黑夜给我黑的眼睛，    而我却用它去寻找爱情。    希望能在这片缘分的天空下，    找到知心爱人。...
本科,172,已经购车,已购住房,72,天蝎座,汉族,蛇,B,"30,40","158,172",不限,不限,不限,不限,lookingformarriage,未婚,加拿大,本人资料真实，真心找结婚对象相伴一生一世。  本人喜欢小孩子，凡是不想或不能生小孩的请绕行。  本人的工作和房子都在加拿大。如果不想来加拿大生活的，请不要给我写信。  凡是资料如年龄......
本科,179,已购车（中档型）,已购房,75,摩羯座,汉族,龙,A,"38,50","不限,",不限,不限,不限,四川,缘来是你,丧偶,成都,我的心充满希望，期待缘分的相遇。...
硕士,172,已经购车,已购住房,68,处女座,汉族,狗,O,"30,40","160,170",不限,不限,不限,四川成都,happydog,未婚,成都,"时光清浅，岁月如烟，我出生在一个普通家庭，父亲从部队转业，母亲在事业单位，温馨和睦的氛围，常常让我怀念。
从小有点腼腆，大专毕业后在国企上班，边工作边读本科，三十而立才考研，毕业后…"
本科,171,暂未购车,已购房,73,天秤座,汉族,鼠,O,"18,30","158,170",不限,大专或以上,未婚,四川成都四川广元,四爷,未婚,成都,一个洁白无瑕的白月光，温柔了我们的时光！  一个浑身带刺的红玫瑰，惊艳了我们的岁月！  真心寻找另一半，骗子、中介勿扰！  还要各位盗号的请自重......
本科,180,已购车（经济型）,已购房,80,双子座,汉族,鸡,其它,"不限,","不限,",不限,不限,不限,湖北武汉,David Lee,离异,武汉,我这个人不太会说话，但我是真诚的人，一般我喜欢做事，做事动手不动口，不太喜欢天天用嘴巴皮子说的人，那种人靠不住！ 不以结婚而目的都是耍流氓，所以非诚勿扰。不会为了结婚而结婚！   …
本科,177,暂未购车,需要时购置,75,巨蟹座,汉族,鼠,B,"30,42","158,173",不限,本科或以上,不限,国外加拿大广东北京,right4u,离异,加拿大,"Dear,    我走过一些弯路，也有过一些不是很复杂经历，如今到这里来，是为了寻找你，一起追求简单的幸福。    媒体上充满婚姻和家庭悲剧，还有大城市惊人的离婚率。经历过一次短暂…"
大专,174,已经购车,已购住房,75,天蝎座,汉族,牛,A,"36,46","158,175",不限,不限,不限,江苏常州,桔色网缘,离异,常州,"人人平等,每个人都有自己独特的生活,每个人都有各自的性格,两个人是否相处的好,只有相互了解,慢慢的熟悉了才好.我经历了很多,现在我很感慨.我一开始就错了.但世界上没有后悔药可吃,更…"
硕士,180,暂未购车,暂未购房,75,狮子座,汉族,狗,B,"28,36","158,175",不限,不限,未婚,四川成都,假如爱有天意,未婚,成都,我是山东烟台人，真诚，善良，有责任心。希望找到一位诚实，有爱的女孩。本科化工专业，研究生法律专业。...
本科,183,暂未购车,独自租房,70,摩羯座,汉族,鼠,B,"27,34","163,177",不限,大专,未婚,上海山西江苏,哼特,未婚,闵行,俺是85年生人， 喜欢冒险，本人07年毕业10年毕业于南航。双学士。工作是航空物流，工和专业跨度有点大。在社会混迹多年的人生波折，沉浮，虽然耽误了青春，失去了很多，也耽误了自己的婚…
硕士,172,暂未购车,暂未购房,--,水瓶座,汉族,羊,B,"34,40","160,",不限,本科,未婚,上海,古玉,未婚,浦东新区,相信一切随缘！希望在世纪佳缘这个纯净美丽的爱情花园里，寻找到彼此吸引、心心相印的有缘人，一起携手走过精彩的人生....
硕士,186,暂未购车,已购住房,85,金牛座,汉族,牛,O,"31,43","161,178",不限,本科或以上,未婚,上海,老蘑菇,未婚,浦东新区,毕业后来沪一直从事软件研发管理工作，也有海外工作经验；未来准备自由职业，收入或可更高，有能力养家。业余时间喜欢学习和阅读。爱好慢跑，游泳，徒步，旅游等。也打桥牌，太极拳，写东西。 …
本科,175,已经购车,已购房,60,天蝎座,汉族,蛇,B,"44,55","155,170",不限,不限,不限,不限,oliver,离异,闵行,很高兴能够在这里认识你。                                                      寻找有缘人。...
高中中专及以下,173,已购车（豪华型）,已购住房,80,双子座,汉族,蛇,B,"45,55","不限,",不限,不限,不限,江苏,火花,丧偶,南京,生命中有你，感觉精彩；回忆中有你，感觉温馨；旅程中有你，感觉骄傲；
本科,179,已购车（中档型）,已购房,93,巨蟹座,汉族,羊,O,"18,30","160,180",不限,本科或以上,未婚,北京,秋天的白云,未婚,东城,非注明的信件，皆为系统发信。如有打扰，敬请原谅……...
本科,172,暂未购车,已购住房,72,摩羯座,汉族,猴,O,"60,","158,170",不限,大专或以上,不限,不限,悟空,离异,松江,我是一名研究员和高级工程师，有近50年机械设计制造、节能环保、农学、财会方面多学科丰富的科研与实体经济工作经历和较强的工作经验，对发明创造、花卉水果等名特优新植物的繁育研究情有独钟…
硕士,172,已经购车,已购住房,73,金牛座,其它民族,蛇,A,"28,39","160,172",不限,大专,未婚离异,江苏南京江苏苏州,滇南,离异,南京,2012年离婚、然后创业，经历了人生最大的低谷和转折。  从一无所有，凭着坚韧和信念，并以自己的优秀真正地做到了四两拨千斤。离婚后的创业，将自己推到无助的风口浪尖之上，于是在孤独…
本科,175,--,已购房,68,双鱼座,汉族,猪,--,"26,34","155,169",不限,本科或以上,未婚,上海,leaf,未婚,普陀,我想恋爱半年结婚。我想恋爱半年结婚。不要离异的。可以一起做家务。最好你做饭我洗碗。...
本科,176,暂未购车,已购住房,68,天秤座,汉族,狗,O,"30,","160,180",不限,不限,不限,上海,springsky,未婚,徐汇,觉得最好的状态是互相珍惜，你巴巴的缠着对方，对方并不拿你当回事，这种情况，果断撤，不要说恒心啊毅力啊什么，将心比心吧  可能会显示有被投诉的记录，原因也很简单，因为某些方面的观点不…
本科,180,已经购车,已购住房,80,射手座,汉族,猴,B,"30,46","不限,",不限,不限,不限,不限,晓航,未婚,杭州,有缘千里来相会。我交友择偶的要求是：一是身体要健康，二是品行要好，三是气质好，即可。...
本科,170,已经购车,需要时购置,70,狮子座,汉族,狗,O,"22,35","158,168",不限,大专,未婚,湖北武汉,我心永恒,离异,武汉,对于你，我希望你会小女人点，传统但不失个性，家庭观念强，身体健康就可以了！最好能是武汉人或武汉周边，正常家庭就，因为父母年纪都大了，离的近大家相互有个照顾，家庭氛围会更浓，热热闹闹…
硕士,190,暂未购车,已购住房,84,白羊座,汉族,猴,AB,"不限,","172,192",不限,不限,未婚,上海北京浙江江苏,victor,未婚,杨浦,"我叫victor,是上海人，毕业于上海一所重点大学，后来在法国一所商学院读了三年书，目前在国内一家优质银行总行工作。         本人个子很高，将近1.90，身材魁梧，相貌儒雅…"
博士,181,已经购车,已购住房,86,天秤座,汉族,马,--,"58,","不限,",不限,本科或以上,未婚离异,广东江苏浙江福建,zhou,离异,佐治亚州,自我介绍  征求一位真诚、开朗、愿意交流、容易沟通、愿意相拥、相扶走完一生、勤劳踏实、不贪钱物、不图虚荣、干净利落、有驾照能开车，愿一同出游、低调不张扬、有基本社会道德底线的女子结…
大专,172,暂未购车,已购住房,65,双子座,汉族,鼠,B,"36,43","158,170",不限,不限,不限,北京,xy61891,未婚,西城,"性情温和,善良正直,通情达理,知识分子家庭,,独居.事业单位干部.经济状况良好,随缘...."
大专,172,已经购车,已购房,65,处女座,汉族,龙,O,"38,或以上","不限,",不限,不限,不限,不限,一生一世一双人,离异,西宁,只想有人在一起，不管明天在哪里。  没有照片的，一上来就要对方介绍所谓情况的，就不要费神来信了！...
本科,172,暂未购车,已购住房,73,天蝎座,汉族,鸡,A,"不限,","165,",不限,不限,不限,不限,samliu,未婚,朝阳,"梦有多长,天有多凉,天凉别忘添衣裳；    路有多远，地有多阔，男儿有泪放一旁        在时光的遂道,来不及看清你的目光；来不及认清你的模样；    …..."
本科,170,暂未购车,已购住房,75,双子座,汉族,狗,B,"34,42","156,168",不限,高中中专及以下,未婚离异,浙江杭州,爱在深秋,未婚,杭州,人生最大的幸福，是发现自己爱的人正好也爱自己。    每个人的裂痕，最后都会变成故事的花纹。...
大专,168,已购车（豪华型）,已购房,70,巨蟹座,汉族,猴,O,"36,50","155,164",不限,高中中专及以下,不限,不限,爱你一万年,离异,中山,我是一个性格憨厚，温和的人.自已有一家公司.生活上喜欢读书，上网，为人真诚，善良。不抽烟喝酒。不打麻将.希望找一个真正爱我的人，能和我一起同甘共苦，患难与共。相亲相爱，互敬互尊到白…
本科,173,已经购车,已购住房,65,摩羯座,汉族,马,B,"25,40","160,170",不限,不限,未婚,不限,老五,未婚,大兴,本人身体强健，无不良嗜好，性格温和，事业稳定上升，有住房和商铺。 寻28-38岁未婚女士一名！要求身高160-170CM左右，体重50-70KG左右，品端貌庄，心地善良。执子之手…
本科,170,已购车（豪华型）,已购住房,60,射手座,汉族,猴,A,"25,38","165,175",不限,不限,不限,国外加拿大,Jacky,未婚,加拿大,一转眼移民来多伦多生活近10年了，记得登录你一天，满心期待，内心彷徨…抬头只见忽雪忽晴，天空里有一种恋爱的味道。我告别了爱我的人，和我爱的地方上海。学习转行、拼搏、创业一切都算顺利…
硕士,174,暂未购车,已购住房,62,处女座,汉族,狗,A,"不限,","不限,",不限,不限,不限,不限,warrenyu,离异,虹口,just looking for someone with whom I can share happiness and hardships.
大专,175,暂未购车,独自租房,60,天秤座,汉族,猪,AB,"27,39","150,180",不限,不限,不限,不限,青春无悔,未婚,通州,一日俩人三餐四季是我向往的生活！我有些内向，不太善于表达，一直过着两点一线的日子，不吸烟，不怎么喜欢喝酒，不好赌，不去夜店，无不良嗜好，我喜欢简单一点，朴素一点.......
本科,172,已购车（经济型）,需要时购置,73,白羊座,汉族,猪,A,"20,40","155,168",不限,不限,不限,不限,永恒相伴,离异,江北,在此真心找个结婚的人，离婚这么些年了，错过了很多。希望别再错过你，话说多了，也没有什么意义，接触了才知道彼此是否合适，感情需要彼此磨合，生活需大家努力，缘分需相互珍惜、、、、  …
大专,175,已购车（豪华型）,已购住房,70,天秤座,汉族,龙,B,"35,45","不限,",不限,不限,不限,不限,威武的鸭舌帽,未婚,菏泽,私营企业主一枚，做人比较低调。    一个有趣的灵魂，喜欢诗歌。    林语堂遇到廖翠凤火烧了结婚证，在这里我希望能遇到一个可以离开此地的人.........
本科,184,已购车（经济型）,已购房,95,双子座,汉族,龙,O,"29,40","158,180",不限,不限,未婚离异,广东佛山,瞌睡龙,未婚,广州,注册佳缘时间不短了，可以用收获甚微来形容，今天偶然有时间从新整理下这独白，希望能有所改变，转眼今年又要过完了，我是个正常人（有人开始怀疑我不正常了嘿嘿），说不急鬼都不信，总结一下吧…
本科,178,已经购车,已购住房,75,双子座,汉族,猴,O,"45,53","158,",不限,大专,未婚离异,不限,rise,离异,浦东新区,我是一个爱好广泛的人，几年前注销了自己的公司，有了属于自己的时间。我喜欢驾车出游，我自驾走过了滇藏、川藏、新藏、青藏线等许多地方。也在一些旅游杂志上发表了不少名山大川的摄影作品。我…
硕士,170,暂未购车,已购住房,120,处女座,汉族,鸡,B,"不限,","不限,",不限,不限,不限,湖北宜昌湖北仙桃,找个可爱女人,未婚,宜昌,相约鹊桥，人海中觅你最动人的笑    相约鹊桥，红尘中觅我心中的最好...
本科,183,暂未购车,已购住房,78,狮子座,汉族,猴,B,"28,40","不限,",不限,不限,离异,甘肃兰州,clclcl,未婚,兰州,2018年了，十年前来到这里，从寻找到相识、结婚、离婚，现在一切又回到了起点。一直没更新过的内心独白，也可以改一改了，就用十年前《非诚勿扰》那段经典的台词吧，重新修了一下，挺适合现…
本科,173,暂未购车,已购住房,75,狮子座,汉族,猴,O,"47,51","158,170",不限,不限,不限,上海,有缘就相聚在一起,离异,黄浦,茫茫人群之中，有缘相聚在一起        手纤手一起向前走...
