word,counts
开通,260
问,260
情,259
自然,259
逛街,259
30,258
写,258
缺点,258
业余时间,257
顺其自然,257
哈哈哈,256
阅读,256
世间,255
游戏,255
勤劳,254
独处,254
回家,253
教育,253
不高,251
交往,249
夕阳,249
天,249
安稳,248
老师,247
总有,246
社会,246
短暂,245
将来,244
心疼,244
一半,242
善于,242
明天,242
难,242
学会,241
情感,241
拒绝,241
半辈子,239
注册,237
外地,236
大度,236
算,236
精彩,236
20,235
企业,235
做好,234
白头到老,234
40,232
相亲,232
几年,231
心情,230
此生,230
老公,230
养生,229
欲,229
瑜伽,229
天津,228
妈妈,228
征婚,228
自我,228
不负,227
创造,227
向上,227
酒,227
专业,226
硕士,226
不相离,225
标准,224
花,224
支持,223
遗憾,223
不易,222
女子,222
有车有房,222
目标,222
相互尊重,222
和谐,221
大富大贵,221
状态,221
真诚相待,221
讨厌,221
样子,220
不知,219
互敬互爱,219
人间,219
共同语言,219
加油,219
理性,218
合,217
佳缘,216
50,215
共渡,215
宁缺毋滥,215
感性,215
真爱,215
一句,214
错,214
今生,213
总会,211
强求,210
执着,210
看着,210
诚意,210
好看,209
物质,209
遇上,209
一伴,208
总,208
不介意,207
喝,207
意义,207
两年,206
事物,206
肩膀,206
思考,205
打算,205
诚信,205
交朋友,204
坦诚相待,204
成功,204
气质,204
主见,203
喝茶,203
懂事,203
优点,202
善待,202
始终,202
平常,202
没事,202
活着,202
闲聊,202
合得来,201
嫌弃,201
开开心心,200
米,200
心底,199
早日,199
站,199
管理,199
性格外向,198
持家,198
未,198
舒服,198
个性,197
安排,197
谈恋爱,197
我能,196
心爱,194
母亲,194
动物,193
变得,193
告诉,193
安心,193
奔,192
熟悉,192
父亲,192
越来越,192
在乎,191
夫妻,191
良人,191
一個,190
晚年,190
爱家,190
最美,188
梦,188
见谅,188
体谅,187
注定,187
压力,186
投资,186
环境,186
网络,186
苦,186
表达,186
觅,186
凡事,185
直,185
信,184
养,184
打麻将,184
美,184
男性,183
不好意思,182
商量,182
大专,182
成,182
留下,182
amp,181
契合,181
本地人,181
耐心,181
聊得,181
外面,180
慢热,179
有没有,179
满眼,179
赌,179
走进,179
大学毕业,178
富有,178
是因为,178
性格内向,177
爱护,177
赚钱,177
加,176
换,176
社交,176
缺乏,176
讲,176
豁达,176
户口,175
看看书,175
越,175
距离,175
远方,175
优先,174
暂时,174
深情,174
组建,174
三年,173
厨艺,173
人会,172
半生,172
带来,172
深圳,172
眼里,172
聊聊,172
聪明,172
心仪,171
房,171
90,170
兔,170
吃饭,170
成就,170
无缘,170
相扶,170
计较,170
身心健康,170
锻炼,170
休息,169
勇敢,169
四季,169
知己,169
偏爱,168
真情,168
大自然,167
奔赴,167
轻易,167
下班,166
保护,166
原则,166
回到,166
12,165
女方,165
规划,165
不良,164
内涵,164
牛,164
销售,164
青春,164
牵,163
看不见,163
羊,163
过往,163
170,162
80,162
不在乎,162
狗,162
老人,162
基础,161
害怕,161
男方,161
长久,161
字,160
闲暇,160
关爱,159
外貌,159
守护,158
收拾,158
退休金,158
一女,157
一心一意,157
喜,157
帮,157
微笑,157
格局,157
相会,157
远,157
实实在在,156
相,156
美女,156
轰轰烈烈,156
文静,155
分,154
包容心,154
打拼,154
钓鱼,154
发信,153
子女,153
存款,153
我心,153
相亲相爱,153
蛇,153
高中,152
鼓励,152
一步,151
周末,151
品质,151
寻求,151
心动,151
时而,151
同甘共苦,150
处,150
大男子主义,150
心机,150
普普通通,150
细心,150
默契,150
一线,149
坎坷,149
平静,149
开车,149
生意,149
短,149
第一,149
过程,149
60,148
不太,148
不求,148
内敛,148
区,148
太多,148
已成,148
成都,148
打工,148
nbsp,147
剩下,147
工程师,147
普通人,147
面前,147
受伤,146
听听,146
大气,146
广东,146
抱,146
独白,146
生人,146
自驾游,146
养花,145
幸运,145
承担,145
结束,145
车,145
遇事,145
儿女,144
相逢,144
知冷知热,144
十年,143
去世,143
规律,143
偏,142
到期,142
消遣,142
男朋友,142
痛苦,142
细腻,142
羡慕,142
身上,142
亲人,141
命运,141
干,140
感动,140
真心真意,140
背叛,140
风,140
175,139
一世,139
书法,139
任性,139
好人,139
搞,139
智慧,139
碰到,139
自我介绍,139
55,138
前行,138
地区,138
妳,138
始于,138
挣钱,138
期盼,138
朴实,138
玩玩,138
认证,138
情商,137
独居,137
繁华,137
美好生活,137
计划,137
2021,136
医生,136
双向,136
四川,136
方向,136
猴,136
相貌,136
世上,135
学,135
我想,135
沉稳,135
余,134
喜爱,134
广州,134
收获,134
早点,134
生于,134
购房,134
轻松,134
辜负,134
一心,133
中国,133
买房,133
头像,133
换位,133
相待,133
研究,133
经济基础,133
35,132
万,132
书,132
知性,132
三餐,131
优雅,131
便是,131
可靠,131
幸福快乐,131
我愿,131
给我发,131
办法,130
哥哥,130
情趣,130
打招呼,130
有缘千里,130
歌,130
直率,130
相见,130
研究生,130
行且,130
诗,130
共同努力,129
品味,129
喝点,129
回来,129
一生一世,128
前半生,128
帅气,128
平安,128
有钱,128
本科毕业,128
贷款,128
长期,128
几个,127
只愿,127
宠物,127
小家,127
度,127
很长,127
拥抱,127
择一城,127
月薪,127
没关系,127
不太会,126
中医,126
医院,126
我来,126
水,126
生死相依,126
终生,126
见面,126
请谅解,126
参加,125
在生活中,125
大叔,125
差,125
承诺,125
无奈,125
无聊,125
画画,125
符合,125
酸甜苦辣,125
但求,124
共享,124
参与,124
天下,124
情绪,124
惊喜,124
热闹,124
互相关心,123
在意,123
外,123
心眼,123
激情,123
过得,123
黄昏,123
国家,122
在外,122
居家,122
才华,122
找寻,122
自已,122
伤,121
做个,121
变,121
委屈,121
守信,121
打篮球,121
正式,121
相互信任,121
一点点,120
两点,120
低,120
技术,120
放下,120
有意,120
端正,120
算是,120
类型,120
语言,120
回忆,119
强势,119
皮囊,119
虚伪,119
闪婚,119
160,118
充实,118
分手,118
唱,118
坚信,118
学校,118
对不起,118
尊老爱幼,118
平和,118
晚,118
本分,118
沉默,118
生活习惯,118
空间,118
终身,118
随性,118
11,117
不失,117
依旧,117
公斤,117
冬天,117
吵架,117
哭,117
浪费时间,117
烹饪,117
现已,117
舞蹈,117
走走,117
45,116
偶然,116
冷暖,116
刚刚,116
勤快,116
勿,116
固定,116
山东,116
很大,116
无所谓,116
比较简单,116
漂泊,116
知书达理,116
穿,116
输,116
龙,116
不愿,115
共同爱好,115
看重,115
知识,115
艺术,115
重情,115
两,114
嘻嘻,114
我定,114
湖北,114
男孩子,114
篮球,114
麻烦,114
万里,113
做生意,113
困难,113
最终,113
本科学历,113
认定,113
跟着,113
酗酒,113
长得,113
一切都是,112
上天,112
坚定,112
忙碌,112
注,112
苦短,112
远离,112
70,111
低调,111
前提,111
对人,111
恋,111
慢热型,111
深爱,111
观念,111
不幸,110
中有,110
单亲,110
告白,110
失望,110
市区,110
强大,110
旅途,110
无车,110
早,110
时刻,110
脆弱,110
走向,110
随遇而安,110
太阳,109
尝试,109
底线,109
敏感,109
无需,109
本来,109
虎,109
邮件,109
影响,108
成家立业,108
有事,108
死,108
直来直去,108
转身,108
这辈子,108
金融,108
之中,107
喜歡,107
天天,107
姐姐,107
网上,107
追剧,107
骗,107
65,106
勤奋,106
對,106
属相,106
机关,106
洁癖,106
眼前,106
走来,106
价值观,105
任何人,105
傻,105
家住,105
心直口快,105
拼搏,105
爸爸,105
粘人,105
金钱,105
需,105
马,105
不小,104
乐趣,104
二人,104
假,104
发生,104
好像,104
提升,104
无人,104
漫长,104
烟火,104
92,103
受过,103
可遇,103
妻子,103
安安稳稳,103
小说,103
有幸,103
祝,103
端庄,103
素养,103
给予,103
读懂,103
陌生,103
2020,102
上网,102
人生路,102
人能,102
好吃,102
宁静,102
往事,102
足矣,102
互联网,101
做菜,101
典型,101
几十年,101
动态,101
回首,101
够,101
大海,101
婚后,101
少年,101
收不到,101
肯定,101
谅解,101
15,100
做点,100
小学,100
建立,100
无房,100
有误,100
猫,100
相投,100
第一次,100
脱单,100
花心,100
运气,100
逛逛,100
长辈,100
难过,100
一只,99
体制,99
分开,99
勇气,99
历史,99
在读,99
归宿,99
手机,99
搭伙,99
玩游戏,99
理财,99
知足,99
请勿打扰,99
贵,99
一件,98
东北,98
信仰,98
国外,98
套路,98
应酬,98
心思,98
最长,98
有缘分,98
柴米油盐,98
遇一人,98
28,97
一米,97
汉子,97
湖南,97
生子,97
疲惫,97
胖,97
随便,97
TA,96
从来不,96
勤俭持家,96
完整,96
幻想,96
微信,96
急,96
我爱你,96
擅长,96
涵养,96
牵挂,96
相近,96
约,96
菜,96
辛苦,96
静好,96
丑,95
体验,95
后悔,95
唱歌跳舞,95
属狗,95
心目,95
我必,95
挑一,95
明年,95
江苏,95
烦恼,95
甜蜜,95
跑,95
锻炼身体,95
丶,94
人才,94
做过,94
医保,94
吸引,94
央企,94
快快乐乐,94
理由,94
财务,94
财富,94
软件,94
五年,93
保守,93
喜好,93
四年,93
天空,93
守候,93
小姐姐,93
心胸,93
情投意合,93
武汉,93
真挚,93
细水长流,93
细节,93
茶,93
贤妻良母,93
迁就,93
18,92
88,92
一无所有,92
一条,92
体会,92
努力奋斗,92
呆,92
天蝎座,92
婚史,92
工程,92
微胖,92
心安,92
打游戏,92
漫步,92
精力,92
解决,92
这是,92
180,91
一家人,91
两岁,91
互相照顾,91
仪式,91
借助,91
养老,91
务实,91
吃苦耐劳,91
回族,91
声明,91
心软,91
忠于,91
愉快,91
愿望,91
打球,91
有空,91
活泼可爱,91
社保,91
耽误,91
认真对待,91
跳,91
5000,90
五官端正,90
前世,90
即可,90
合眼,90
同事,90
实名,90
家中,90
时尚,90
永恒,90
直播,90
知心,90
身心,90
间,90
陌生人,90
2022,89
lt,89
不喜,89
乒乓球,89
交,89
亲爱,89
千篇一律,89
媳妇,89
导致,89
幸福生活,89
担心,89
旅程,89
晚上,89
没车,89
相仿,89
睡觉,89
结识,89
舞,89
饭菜,89
26,88
下厨,88
乐于助人,88
公主,88
共同进步,88
受,88
土著,88
外企,88
孝敬,88
对面,88
很难,88
恩爱,88
遇,88
信件,87
前妻,87
善,87
宠爱,87
斤斤计较,87
有意者,87
气,87
漫漫,87
爸妈,87
红尘,87
缺少,87
至少,87
认真负责,87
设计,87
请别,87
93,86
gt,86
you,86
不去,86
为人正直,86
以上学历,86
加倍,86
回报,86
属鸡,86
文艺,86
终身伴侣,86
网站,86
联系方式,86
随意,86
25,85
來,85
修行,85
出身,85
天涯,85
已过,85
干净利落,85
思念,85
想象,85
户外,85
易,85
更是,85
有心,85
永不,85
没房,85
眼睛,85
睿智,85
耿直,85
聊聊天,85
花言巧语,85
那份,85
一同,84
人员,84
以诚相待,84
伤心,84
号,84
吾,84
嫁,84
宽广,84
摩羯座,84
活动,84
点点滴滴,84
莫过于,84
冷,83
出门,83
同频,83
择一人,83
明,83
祝福,83
终究,83
证明,83
91,82
不善,82
人士,82
出轨,82
咖啡,82
城,82
实力,82
性情,82
户外运动,82
爱过,82
眼光,82
评价,82
靠近,82
一儿,81
上进,81
前夫,81
北方,81
安徽,81
家乡,81
小鸟依人,81
思维,81
护,81
文学,81
沉淀,81
没心没肺,81
病,81
自私,81
超过,81
追,81
长沙,81
麻将,81
87,80
94,80
三个,80
不行,80
两情相悦,80
之心,80
从容,80
养活,80
军人,80
分担,80
去年,80
只为,80
哄,80
回头,80
培训,80
套房,80
忘记,80
念,80
拍照,80
携,80
會,80
次,80
牵着,80
独生子女,80
猪,80
留给,80
眼,80
美景,80
记得,80
道,80
错误,80
顺眼,80
58,79
75,79
86,79
亲情,79
和睦,79
坦然,79
属猪,79
忘,79
我家,79
深,79
理智,79
知书达礼,79
私信,79
舒适,79
逛,79
风风雨雨,79
I,78
一个月,78
一块,78
一见钟情,78
依赖,78
保障,78
假期,78
和善,78
地点,78
培养,78
找位,78
放松,78
河南,78
浏览,78
眼中,78
知音,78
青年,78
165,77
不让,77
交给,77
代表,77
共创,77
初心,77
年收入,77
我命,77
我幸,77
打开,77
看过,77
类,77
與,77
衣服,77
默默,77
一双,76
下辈子,76
买菜,76
夜店,76
得体,76
挑战,76
撒娇,76
放,76
新疆,76
昨天,76
暧昧,76
杭州,76
正确,76
熟,76
独生女,76
着想,76
管理工作,76
话题,76
谈过,76
鼠,76
16,75
85,75
上学,75
不厌,75
个子,75
价值,75
养家,75
县城,75
宝贵,75
形象,75
志趣相投,75
拉,75
放在,75
文字,75
无限,75
看电视,75
编制,75
老去,75
诚恳,75
雨,75
颜控,75
27,74
48,74
89,74
95,74
中年,74
再也,74
帅,74
心理,74
时代,74
生肖,74
稍微,74
空闲,74
经验,74
结局,74
绘画,74
老实人,74
质量,74
过客,74
迎接,74
陪你到,74
静,74
世纪,73
人海茫茫,73
周边,73
命里,73
多一点,73
天生,73
太久,73
岁数,73
悲伤,73
感兴趣,73
放手,73
有限,73
河北,73
烟酒,73
甜,73
留学,73
聚会,73
自立,73
诚心诚意,73
72,72
中学,72
冷漠,72
凑合,72
华丽,72
只会,72
品位,72
品德,72
崇拜,72
想到,72
拐弯抹角,72
最佳,72
浙江,72
渡过,72
相通,72
粥,72
重义,72
闲时,72
38,71
不拘小节,71
位,71
低于,71
信心,71
全心全意,71
奇迹,71
好多,71
帅哥,71
广场,71
慢,71
无孩,71
日出日落,71
生病,71
美的,71
随心,71
985,70
写信,70
力量,70
动漫,70
原生,70
周全,70
天秤座,70
奢望,70
妈宝,70
容颜,70
尚可,70
承受,70
接近,70
本书,70
段,70
温婉,70
生气,70
相互了解,70
西安,70
走出,70
重视,70
高校,70
73,69
the,69
伞,69
具备,69
出差,69
卫生,69
坏,69
安逸,69
开启,69
懒,69
擦肩而过,69
新鲜,69
温度,69
疫情,69
相惜,69
看淡,69
矛盾,69
一手,68
一把,68
体型,68
做做,68
元,68
再婚,68
南京,68
去过,68
吃苦,68
处事,68
姻缘,68
家庭和睦,68
平平安安,68
忙于,68
抚养,68
装修,68
送,68
遮风挡雨,68
阅历,68
高级,68
不符,67
充满希望,67
内心独白,67
匹配,67
南方,67
台球,67
年底,67
广西,67
开郎,67
弄,67
快点,67
憨,67
改,67
晒太阳,67
步入,67
盼望,67
穷,67
自强,67
营造,67
贤淑,67
63,66
68,66
to,66
丈夫,66
可温,66
完下,66
宝宝,66
山,66
年生,66
店,66
打打,66
把握,66
拍,66
探索,66
控,66
晚点,66
江西,66
登山,66
眼神,66
确实,66
笑容,66
试试,66
过半,66
风雨同舟,66
96,65
人要,65
以待,65
做作,65
内外,65
农民,65
却是,65
厚道,65
固定收入,65
娶,65
安定,65
就行了,65
建筑,65
怀着,65
想着,65
氛围,65
沒有,65
独立自主,65
知足常乐,65
祖国,65
终,65
背景,65
脚踏实地,65
自动,65
24,64
36,64
不期而遇,64
不该,64
丢,64
初中,64
嗨,64
小日子,64
小时,64
应,64
愿有,64
托付,64
有家,64
流浪,64
灿烂,64
独生子,64
甜言蜜语,64
相敬如宾,64
终点,64
美满,64
能干,64
自尊,64
车房,64
这份,64
迷茫,64
100,63
33,63
互爱,63
体贴人,63
免谈,63
入,63
友善,63
回国,63
填写,63
声音,63
备注,63
妹妹,63
小孩子,63
已婚,63
弟弟,63
徒步,63
心爱人,63
打理,63
挫折,63
放心,63
活成,63
相随,63
磨合,63
籍贯,63
自有,63
自来,63
英语,63
视频,63
谈得来,63
负债,63
静静的,63
32,62
三岁,62
世俗,62
争吵,62
事事,62
人来,62
個,62
冷战,62
包括,62
受过伤,62
可惜,62
命中注定,62
喜怒哀乐,62
射手座,62
就职,62
干干净净,62
心善,62
搀扶,62
真心诚意,62
美颜,62
西藏,62
那位,62
闹,62
骑行,62
.....,61
52,61
一屋,61
上能,61
业务,61
互相帮助,61
体育,61
依偎,61
入骨,61
博士,61
吹,61
坐,61
大部分,61
天地,61
好友,61
子,61
富贵,61
小家庭,61
幽默感,61
心若,61
换来,61
教,61
朋友圈,61
期间,61
爱上,61
珍贵,61
相合,61
短婚,61
缘来,61
花草,61
行政,61
讲究,61
谎言,61
阶段,61
香港,61
178,60
一个男孩,60
一段时间,60
不及,60
不善言辞,60
不谈,60
净身,60
哈哈哈哈,60
太累,60
失落,60
安好,60
家境,60
家暴,60
属马,60
山水,60
年薪,60
幸福美满,60
开玩笑,60
想过,60
散散步,60
无悔,60
日出,60
晚年生活,60
渣,60
痛,60
看好,60
礼貌,60
种花,60
自由自在,60
自驾,60
足球,60
邂逅,60
重点,60
211,59
22,59
一岁,59
不合,59
不见,59
仔细,59
儒雅,59
全国,59
关键,59
内在,59
千里,59
历经,59
地域,59
处于,59
大于,59
小时候,59
巧合,59
式,59
彩虹,59
忽略,59
性子,59
情调,59
想想,59
愉悦,59
我用,59
折腾,59
无情,59
春天,59
未育,59
树,59
淡然,59
直白,59
真诚待人,59
购车,59
追寻,59
76,58
BR,58
不帅,58
不良习惯,58
两次,58
互补,58
人有,58
休闲,58
倔强,58
名字,58
国内,58
坦荡,58
安安静静,58
宝贝,58
崇尚,58
很小,58
情缘,58
愛,58
慎重,58
所有人,58
政府,58
敬请,58
无忧无虑,58
早已,58
活在,58
活波,58
渐渐,58
现居,58
相思,58
符合条件,58
纹身,58
练,58
职工,58
还好,58
一本,57
一眼,57
作,57
全世界,57
冷静,57
几岁,57
发现自己,57
发脾气,57
品行端正,57
增长,57
多好,57
多愁善感,57
天长地久,57
太小,57
学生,57
小事,57
很多年,57
打扮,57
敷衍,57
日常,57
比较忙,57
汽车,57
瘦,57
着急,57
磨难,57
见到,57
遇不到,57
长远,57
17,56
172,56
and,56
一所,56
一日三餐,56
中心,56
云南,56
交际,56
全款,56
别来,56
原谅,56
双手,56
合拍,56
君,56
好运,56
婚,56
孝敬老人,56
带给,56
年华,56
恨,56
情绪稳定,56
房产,56
每月,56
洒脱,56
海边,56
疾病,56
皮肤,56
眼泪,56
精致,56
纠结,56
老天,56
胸怀,56
自爱,56
过年,56
银行,56
66,55
a,55
不带,55
兼职,55
周岁,55
寻寻觅觅,55
山西,55
师,55
带有,55
幼稚,55
恶习,55
想念,55
户籍,55
房贷,55
抛弃,55
无意,55
智商,55
有情人终成眷属,55
比较慢,55
深深,55
特,55
看清楚,55
缺,55
美国,55
美好时光,55
背后,55
脸上,55
贴心,55
赚,55
转眼,55
陪你走,55
鸡,55
黑龙江,55
29,54
62,54
一见,54
一辆,54
云卷云舒,54
人到中年,54
人好,54
人群,54
人过,54
传销,54
伤不起,54
倾听,54
免,54
友情,54
嘴,54
回信,54
大好河山,54
如初,54
尊敬,54
心存,54
心心相印,54
您好,54
指教,54
收到,54
教养,54
新闻,54
暴躁,54
月份,54
本性,54
滴,54
王者,54
腼腆,54
自重,54
藏,54
解锁,54
车子,54
高度,54
57,53
81,53
84,53
一身,53
与人为善,53
买车,53
以内,53
匀称,53
同龄人,53
品尝,53
在编,53
婚姻生活,53
嫁给,53
安慰,53
家有,53
属虎,53
彼此之间,53
打乒乓球,53
投缘,53
显,53
查看,53
爱好音乐,53
直性子,53
矫情,53
福,53
私企,53
自主,53
蓦然回首,53
走遍,53
13,52
21,52
83,52
一分,52
中等,52
二婚,52
云,52
佛系,52
保证,52
写作,52
刻意,52
勉强,52
味道,52
奔跑,52
奢求,52
平,52
接纳,52
撑起,52
改不了,52
未必,52
欢乐,52
欢喜,52
电商,52
男子,52
相聚,52
盼,52
看清,52
祖籍,52
结伴,52
能带,52
花开花落,52
花钱,52
被动,52
认知,52
记忆,52
超级,52
身,52
过后,52
19,51
2019,51
54,51
64,51
8000,51
82,51
三千,51
人和事,51
伤痛,51
关心体贴,51
关怀,51
养鱼,51
原本,51
反正,51
向前,51
天真,51
妹子,51
工人,51
带个,51
归来,51
性,51
抱怨,51
旅,51
游玩,51
滑雪,51
生长,51
认可,51
认同,51
道路,51
一程,50
似,50
公园,50
六年,50
加班,50
半年,50
取决于,50
固执,50
土生土长,50
太高,50
头发,50
家园,50
小酒,50
属鼠,50
年少,50
当成,50
性情温和,50
情人,50
意味着,50
我者,50
早上,50
机构,50
活力,50
美丽大方,50
贵州,50
路过,50
过得去,50
项目,50
高冷,50
168,49
71,49
K,49
一声,49
一子,49
万物,49
不差,49
乐器,49
产品,49
全是,49
内容,49
发消息,49
吃货,49
吉他,49
场合,49
多点,49
宽厚,49
尽头,49
很强,49
无忧,49
没人,49
没法,49
泡吧,49
满意,49
热爱工作,49
狗狗,49
独自一人,49
玫瑰,49
白天,49
看信,49
看眼缘,49
空,49
绕道而行,49
表面,49
言语,49
讲卫生,49
豪爽,49
道德,49
郑州,49
饭,49
78,48
久于,48
事理,48
人为,48
人格,48
同学,48
命,48
头脑,48
娃,48
户外活动,48
敢爱敢恨,48
柔软,48
模样,48
永久,48
沧桑,48
温顺,48
熟人,48
电视,48
百年,48
盛开,48
相关,48
瞬间,48
离过婚,48
纯净,48
纯洁,48
自卑,48
苏州,48
视,48
言,48
踪迹,48
转转,48
轻轻,48
还会,48
这才,48
非会员,48
173,47
42,47
一对,47
业余,47
以心,47
催,47
内热,47
十几年,47
十多年,47
厮守,47
可甜,47
员工,47
在职,47
夏天,47
夜晚,47
天意,47
太难,47
就让,47
悲欢,47
成年人,47
房车,47
控制,47
敬于,47
时常,47
清晨,47
烟,47
独一无二,47
田园生活,47
看法,47
看透,47
经商,47
编,47
自由职业,47
虚假,47
负,47
辞职,47
逗,47
邋遢,47
都行,47
.......,46
一张,46
上帝,46
下得,46
个体,46
丰满,46
事儿,46
余下,46
化妆,46
名下,46
品茶,46
回应,46
头,46
好奇,46
容貌,46
很快,46
心意,46
意外,46
我怕,46
拼命,46
撒谎,46
未知,46
爱慕,46
独特,46
男女,46
纯真,46
经济负担,46
维护,46
美好未来,46
聚,46
舍得,46
艰辛,46
落户,46
行走,46
街,46
贫穷,46
辉煌,46
酒吧,46
青岛,46
黑,46
14,45
53,45
56,45
一瓢,45
不玩,45
中专,45
五官,45
健谈,45
共进,45
内心深处,45
后半辈子,45
喜悦,45
境界,45
太远,45
好感,45
小女子,45
恋人,45
投入,45
掉,45
无论是,45
每次,45
水平,45
灯火阑珊,45
留在,45
碰碰运气,45
种种,45
答案,45
结交,45
胖子,45
角落,45
請,45
走开,45
转,45
道理,45
配,45
闺女,45
需求,45
饮,45
骄傲,45
骗人,45
骨子里,45
黑夜,45
一道,44
乖巧,44
人间烟火,44
偕老,44
共鸣,44
冲动,44
协会,44
双,44
圆满,44
外债,44
多一些,44
失之,44
奉献,44
好点,44
嫖,44
安,44
小窝,44
干净利索,44
平等,44
心智,44
意向,44
房间,44
攀比,44
日落,44
星辰,44
本是,44
海,44
爬,44
